#26
12	2	-10	6	2	-2	0	6	
6	-4	-2	-8	8	-16	10	-4	
2	10	8	-4	4	-2	-4	10	
6	-14	-10	0	0	-2	-8	-4	
0	10	-10	0	0	-2	12	10	
-5	-10	12	-10	6	-6	-8	0	
6	5	-3	8	-8	10	6	-4	
9	-7	8	0	4	-4	-4	12	

0	3	8	1	3	4	4	0	
4	7	6	3	0	13	5	9	
7	-2	-5	4	-4	1	8	5	
5	9	5	-1	7	4	9	12	
7	1	3	6	3	4	1	6	
8	10	1	4	1	6	10	11	
4	0	6	1	5	0	7	10	
0	7	1	5	4	8	7	0	

17 9 0

#27
13	1	-9	5	3	-1	-1	7	
7	-3	-1	-7	7	-15	9	-3	
1	9	7	-3	3	-3	-3	9	
5	-13	-11	0	0	-1	-7	-3	
1	9	-9	0	0	-3	11	9	
-4	-9	11	-9	5	-5	-9	-1	
5	4	-4	7	-7	9	5	-3	
10	-6	7	1	3	-3	-5	13	

0	4	8	2	3	4	5	0	
4	7	6	3	1	13	6	9	
7	-1	-4	3	-3	1	8	6	
5	9	6	0	6	4	8	12	
7	2	2	6	4	4	1	7	
8	10	1	3	1	5	10	12	
5	1	7	1	4	0	7	10	
0	7	2	5	4	7	7	0	

17 10 0

#28
14	2	-8	4	4	0	-2	8	
6	-4	-2	-6	6	-14	8	-2	
2	8	6	-2	2	-4	-2	8	
4	-12	-12	0	0	0	-6	-4	
2	8	-8	0	0	-4	10	8	
-3	-8	10	-8	4	-4	-8	-2	
4	3	-5	6	-6	8	4	-2	
11	-5	6	2	2	-2	-6	14	

0	4	8	3	3	4	6	0	
4	7	6	2	2	12	7	9	
7	-1	-3	3	-2	1	7	6	
6	8	6	0	7	3	7	12	
7	2	2	6	4	5	1	7	
8	10	1	3	1	4	9	12	
6	2	8	1	4	0	7	10	
0	7	3	5	5	7	7	0	

17 11 0

