#61
36	-20	24	-6	22	-12	0	32	
-2	-26	-20	-16	6	12	-18	14	
22	16	18	-16	18	-14	20	-8	
-8	-22	-14	0	0	0	-22	22	
-2	6	16	0	0	18	-16	-12	
0	14	-10	-30	-18	-30	-12	8	
-6	-14	26	-4	24	24	-6	24	
36	-28	20	-4	-12	14	2	6	

0	19	0	16	6	23	16	0	
15	26	19	21	7	7	29	8	
6	-2	-4	11	-2	12	-3	17	
17	11	13	1	6	1	14	2	
16	2	-3	12	5	-4	13	17	
13	-3	21	23	12	21	13	5	
16	23	-9	10	-2	4	16	-1	
0	21	0	14	17	7	12	0	

41 19 1

#62
37	-21	25	-7	23	-13	-1	33	
-3	-27	-19	-17	7	13	-19	15	
23	17	19	-15	17	-15	19	-9	
-7	-23	-15	0	0	1	-23	23	
-3	7	15	0	0	19	-15	-13	
1	15	-9	-31	-19	-31	-13	7	
-7	-13	27	-3	25	25	-5	25	
37	-29	21	-5	-11	13	3	5	

0	20	0	17	6	24	17	0	
16	27	19	22	6	6	30	8	
6	-2	-4	10	-1	12	-2	17	
17	12	14	1	6	1	15	1	
17	2	-2	11	6	-4	13	17	
13	-3	21	24	13	22	14	5	
17	23	-9	10	-2	4	16	-2	
0	22	0	15	17	8	12	0	

42 19 1

#63
38	-22	26	-8	24	-14	-2	32	
-4	-28	-18	-18	8	14	-18	16	
22	18	18	-14	16	-16	18	-10	
-6	-22	-14	0	0	2	-24	24	
-4	8	16	0	0	20	-16	-14	
2	14	-8	-32	-20	-32	-14	8	
-8	-14	28	-2	26	24	-4	26	
38	-30	22	-6	-10	12	4	4	

0	20	-1	17	5	24	17	0	
17	27	18	22	5	5	30	7	
7	-2	-4	10	0	13	-1	17	
17	12	14	0	7	0	16	0	
18	2	-2	11	5	-5	14	17	
13	-2	21	25	13	22	15	4	
18	24	-10	9	-3	4	16	-3	
0	23	0	16	17	9	12	0	

43 19 1

#64
39	-21	25	-7	23	-13	-1	33	
-5	-29	-17	-19	7	13	-19	15	
23	17	17	-13	15	-15	17	-9	
-7	-21	-13	0	0	3	-23	23	
-3	7	15	0	0	19	-17	-13	
1	13	-7	-31	-19	-31	-13	9	
-7	-15	27	-3	25	23	-5	25	
37	-29	23	-5	-9	13	3	5	

0	20	0	17	6	24	17	0	
17	28	17	22	5	5	31	7	
6	-2	-3	9	0	13	0	17	
17	12	14	0	8	0	16	1	
17	3	-1	11	5	-4	15	17	
13	-1	20	25	12	22	15	4	
17	25	-9	10	-2	4	17	-2	
0	23	0	16	17	9	12	0	

43 20 1

#65
40	-20	24	-6	22	-12	-2	34	
-6	-30	-16	-20	6	12	-20	16	
24	16	16	-12	14	-14	16	-8	
-8	-22	-12	0	0	4	-22	22	
-2	6	14	0	0	18	-18	-12	
2	14	-6	-30	-18	-30	-12	10	
-6	-16	26	-4	24	22	-6	24	
36	-28	22	-4	-8	14	2	6	

0	20	1	17	7	24	18	0	
17	28	17	22	5	5	31	7	
5	-2	-2	9	1	12	1	17	
17	12	14	0	7	0	16	2	
16	4	0	10	6	-3	16	17	
12	-1	19	25	12	22	15	4	
16	25	-9	11	-1	5	18	-2	
0	22	0	16	17	9	13	0	

43 21 1

#66
41	-21	25	-7	23	-13	-1	33	
-5	-29	-17	-19	7	13	-21	17	
23	15	17	-13	15	-15	17	-9	
-7	-23	-13	0	0	3	-21	23	
-3	7	15	0	0	19	-19	-13	
3	15	-7	-31	-17	-31	-11	9	
-7	-15	27	-5	25	23	-5	25	
37	-29	21	-3	-9	13	3	5	

0	21	1	18	7	25	18	0	
17	28	18	22	4	4	31	6	
6	-1	-2	9	1	12	1	17	
17	13	15	1	7	1	16	1	
17	4	-1	10	6	-3	17	17	
12	-2	20	25	12	23	15	4	
17	25	-10	12	-1	5	18	-3	
0	23	1	16	18	10	13	0	

44 21 1

