565	56	61	-39	17	265	-66	560	
28	-266	-27	111	-162	-147	-258	70	
92	-107	-147	-17	9	37	-185	239	
69	69	39	0	0	47	-187	12	
-28	-60	-74	0	0	-75	5	79	
139	75	-95	14	-25	54	-141	-32	
-26	-310	4	-123	-56	119	-353	132	
590	-11	-2	337	-158	13	-23	624	

0	268	272	320	264	144	262	0	
281	359	91	18	176	161	355	252	
266	154	264	129	41	174	177	201	
279	63	116	168	200	64	148	314	
321	149	101	182	209	142	42	264	
243	20	229	65	106	167	149	312	
293	344	63	132	74	-15	389	229	
0	297	303	145	371	286	286	0	

750 137 13
