657	30	37	-63	95	337	-78	650	
54	-348	-13	105	-180	-223	-295	54	
84	-119	-137	-11	7	37	-215	319	
79	63	43	0	0	41	-187	-30	
-26	-94	-78	0	0	-97	39	113	
173	101	-61	24	-35	74	-191	-44	
-56	-326	-46	-127	-76	131	-371	164	
662	-13	-8	413	-170	1	-29	690	

0	322	324	372	266	149	302	0	
301	406	82	14	196	206	396	296	
304	159	285	149	57	203	199	204	
308	71	149	187	223	76	169	373	
354	179	105	202	230	183	38	288	
260	3	230	44	118	178	182	357	
337	374	103	160	106	-3	416	254	
0	341	349	154	417	332	329	0	

849 142 13
