523	27	-85	278	-133	-90	446	393	
28	-181	-134	-154	416	-170	-205	-162	
-108	248	-126	58	-165	146	-154	383	
-128	-146	60	0	0	-161	-149	-148	
440	-136	-156	0	0	-30	-118	454	
-130	-166	176	-149	-8	2	-137	5	
68	-125	-148	-123	-144	-126	-152	-118	
473	-120	283	-117	428	-101	61	479	

0	243	317	138	339	299	21	0	
258	298	191	196	-100	210	264	264	
308	19	208	110	243	60	213	38	
278	205	31	181	126	179	213	272	
41	179	222	119	149	164	215	43	
279	208	54	177	152	128	263	253	
176	231	211	241	225	218	316	304	
0	188	65	255	29	269	199	0	

687 79 34
635	76	-145	406	-183	-140	524	392	
-48	-189	-188	-170	456	636	77	-146	
407	-182	-141	525	391	-49	-188	-189	
-169	457	-172	-191	-164	-41	261	-139	
71	-180	195	-184	448	-161	-131	73	
0	0	-180	-189	-167	515	-181	-165	
0	0	-75	-159	561	-155	-185	189	
-164	-9	-39	-158	-5	71	-58	-163	

-126	-157	-169	-189	-136	508	-147	274	
-146	509	-164	134	557	0	271	387	
119	405	359	15	0	360	351	254	
239	-82	255	296	297	338	52	256	
118	273	52	253	50	326	226	19	
236	131	201	270	316	38	235	259	
136	168	198	273	35	314	241	50	
190	163	171	303	294	197	207	238	

268 261 271
636	77	-146	407	-182	-141	525	391	
-49	-188	-189	-169	457	637	78	-147	
408	-181	-142	526	390	-50	-187	-190	
-168	458	-173	-192	-163	-40	260	-138	
70	-181	196	-183	449	-162	-130	72	
0	0	-179	-190	-168	516	-182	-164	
0	0	-76	-158	562	-156	-186	188	
-163	-10	-40	-157	-6	72	-57	-162	

-127	-156	-168	-188	-137	507	-148	273	
-147	510	-163	133	558	0	271	388	
119	405	360	15	0	361	351	255	
239	-82	256	297	297	338	52	256	
118	274	52	253	50	326	225	19	
236	131	200	270	317	37	235	258	
136	168	198	272	35	314	241	50	
190	164	172	302	295	196	206	237	

268 261 271
