26372	11674	-852	1489	11534	16033	-17717	27370	
2738	-24505	-10248	21998	-16028	148	-20200	15911	
9126	-16198	16774	-26716	-14743	20496	-25065	-2167	
-4889	12940	-27586	0	0	-6315	-9355	22805	
23415	-21019	22704	0	0	16631	485	-12935	
11086	-24574	3150	-28114	-5055	-22985	-20680	20748	
-13247	1739	23334	-16926	-20314	15965	17764	-9551	
26899	-9796	-5412	21269	5562	13284	-14500	18657	

0	7318	13506	12638	7499	5327	17236	0	
9176	21385	11513	-5970	13258	3875	18312	5219	
8907	14352	-4783	16681	9001	-5902	16563	11689	
14108	-1523	16804	1940	6384	6521	9525	973	
2649	15762	-10600	5608	3275	-4054	4390	14924	
8139	17738	4024	16299	5757	15960	15624	1236	
17531	9063	-5213	13633	13833	-1629	-1173	13195	
0	16345	15395	3358	9415	6300	16060	0	

41578 10825 1457
