242	-167	266	-121	280	52	66	348	
-212	318	-59	67	-328	-178	7	-116	
210	-310	-220	91	-245	299	-259	-34	
232	-70	-212	0	0	121	-245	341	
-250	213	-145	0	0	-405	-33	119	
122	111	-257	293	-361	231	215	-208	
-252	227	-207	-279	257	-249	-91	53	
385	-162	229	168	25	159	-133	367	

0	202	44	212	64	153	156	0	
227	-47	112	42	219	194	161	229	
67	262	197	14	165	-83	239	206	
62	89	146	45	99	-23	202	52	
269	-10	111	97	23	261	115	145	
120	43	191	-99	232	-45	45	279	
280	34	191	226	-38	206	186	162	
0	271	127	163	215	151	227	0	

707 260 33
