142	-109	166	-78	176	20	60	182	
-154	204	-33	55	-202	-100	27	-34	
142	-190	-142	45	-167	173	-155	-64	
162	-78	-148	0	0	63	-155	203	
-158	133	-77	0	0	-245	-13	84	
82	89	-169	195	-217	125	137	-108	
-152	137	-89	-187	179	-143	-25	17	
225	-95	163	66	1	109	-87	213	

0	109	15	133	33	93	76	0	
148	-45	69	15	131	115	80	109	
37	150	120	14	117	-52	152	130	
32	69	80	34	42	-4	116	24	
168	-11	59	41	30	159	68	70	
74	19	115	-63	131	-13	24	151	
170	25	97	142	-44	114	104	95	
0	163	64	109	131	85	144	0	

424 151 25
