659	32	41	-67	95	339	-78	652	
56	-354	-17	109	-184	-225	-299	54	
84	-117	-141	-15	9	35	-219	323	
81	65	47	0	0	41	-189	-26	
-28	-92	-78	0	0	-103	43	109	
173	103	-63	24	-31	76	-195	-40	
-54	-328	-48	-129	-80	131	-369	168	
664	-13	-8	415	-168	1	-25	687	

0	322	324	376	268	150	304	0	
299	408	83	11	196	206	398	298	
304	154	288	152	57	203	200	203	
307	68	148	188	223	78	169	372	
355	178	105	203	229	187	36	291	
260	2	234	46	117	178	186	356	
337	374	104	163	108	-2	416	253	
0	341	349	153	416	332	326	0	

851 142 13
