186	-133	182	-84	196	28	72	218	
-190	224	-31	39	-224	-118	17	-46	
160	-200	-144	47	-169	191	-179	-56	
166	-76	-174	0	0	83	-175	225	
-168	159	-93	0	0	-275	-11	91	
80	93	-203	213	-243	141	155	-130	
-180	167	-111	-207	203	-157	-37	27	
263	-115	167	84	-5	125	-95	245	

0	129	19	152	46	110	94	0	
180	-44	74	28	151	139	106	133	
43	167	133	28	127	-57	179	154	
47	77	104	36	64	-11	134	41	
185	-13	72	66	24	175	76	96	
91	25	140	-65	147	-13	31	187	
195	20	111	155	-46	125	124	116	
0	185	77	119	150	93	158	0	

491 182 27
