#1
1	1	1	1	-1	-1	1	-1	
-1	1	-1	-1	-1	1	-1	1	
1	-1	1	-1	1	-1	1	-1	
-1	1	-1	0	0	1	1	1	
1	1	1	0	0	-1	-1	-1	
-1	1	-1	1	-1	1	1	1	
1	1	-1	1	1	-1	-1	-1	
-1	1	-1	1	-1	1	-1	1	

0	0	0	0	0	0	-1	0	
1	0	1	1	0	-1	0	-1	
0	1	0	1	0	0	-1	0	
1	0	1	0	0	0	-1	-1	
0	0	0	0	0	1	1	0	
1	0	1	0	0	0	-1	-1	
0	-1	1	0	0	0	1	0	
0	-1	0	-1	0	-1	0	0	

1 0 0

#2
2	2	0	2	0	-2	2	0	
-2	0	0	-2	-2	2	-2	2	
2	-2	2	-2	0	0	0	-2	
-2	2	-2	0	0	0	2	0	
2	0	2	0	0	0	-2	0	
-2	2	-2	2	0	0	2	0	
2	2	-2	2	0	-2	-2	0	
-2	2	0	0	0	2	-2	2	

0	0	1	0	0	1	-1	0	
1	1	1	2	1	-2	1	-1	
-1	1	0	2	1	0	-1	0	
1	-1	2	1	0	0	-2	-1	
-1	1	0	0	1	1	1	0	
1	-1	2	-1	-1	0	-2	0	
-1	-2	2	-1	0	0	1	0	
0	-1	0	0	0	-1	1	0	

2 0 0

#3
3	1	1	1	1	-1	1	1	
-3	-1	-1	-1	-1	3	-3	1	
3	-3	3	-3	1	1	1	-1	
-3	3	-3	0	0	-1	3	-1	
3	1	3	0	0	1	-3	1	
-3	3	-3	3	1	-1	3	-1	
3	1	-3	1	-1	-3	-3	1	
-3	3	1	1	-1	3	-3	3	

0	1	1	1	0	1	-1	0	
1	1	1	1	1	-3	2	0	
-2	1	-1	3	0	0	-1	0	
1	-1	3	2	0	1	-2	0	
-2	1	0	0	2	1	2	0	
1	-1	2	-1	-2	0	-2	1	
-2	-2	3	-1	1	1	2	0	
0	-2	-1	-1	0	-1	2	0	

3 0 0

#4
4	2	2	2	2	-2	0	2	
-4	-2	-2	-2	-2	4	-4	2	
4	-4	4	-4	2	0	2	0	
-4	4	-4	0	0	-2	4	-2	
4	0	4	0	0	0	-4	2	
-4	4	-4	4	2	0	4	0	
4	0	-2	0	-2	-4	-4	0	
-4	4	0	2	-2	4	-4	4	

0	1	1	1	0	1	-1	0	
1	2	2	2	1	-4	3	0	
-3	2	-2	3	0	0	-1	0	
1	-1	3	2	1	2	-2	1	
-3	2	0	0	2	2	2	0	
1	-1	3	-1	-2	-1	-3	1	
-3	-2	3	0	2	1	2	1	
0	-3	-1	-2	0	-2	2	0	

4 0 0

#5
5	3	3	3	3	-1	-1	3	
-5	-3	-3	-3	-3	5	-5	3	
5	-5	5	-5	3	-1	3	1	
-5	5	-5	0	0	-3	5	-3	
5	-1	5	0	0	1	-5	3	
-5	5	-5	5	3	-1	5	-1	
5	-1	-3	-1	-3	-5	-5	1	
-5	5	1	3	-3	5	-5	5	

0	1	1	1	0	1	0	0	
1	3	3	2	2	-4	4	0	
-4	3	-2	4	-1	1	-2	0	
1	-1	3	3	1	3	-3	2	
-4	3	0	0	3	2	2	0	
1	-1	3	-1	-3	-1	-3	2	
-4	-1	4	0	2	1	3	1	
0	-3	-1	-2	1	-2	3	0	

5 0 0

#6
6	2	2	4	4	-2	0	4	
-4	-4	-2	-4	-4	4	-6	4	
6	-6	6	-6	4	0	4	0	
-6	6	-6	0	0	-4	6	-2	
6	-2	6	0	0	0	-6	4	
-6	6	-6	6	2	0	6	0	
6	-2	-4	-2	-4	-6	-6	2	
-6	6	0	4	-4	6	-6	6	

0	2	2	1	0	2	0	0	
1	4	3	3	3	-3	5	0	
-4	4	-3	4	-1	1	-2	1	
2	-1	3	2	2	4	-3	2	
-4	4	0	0	3	3	3	0	
2	-1	3	-1	-3	-1	-3	2	
-4	-1	5	1	3	2	4	1	
0	-4	-1	-2	2	-2	4	0	

6 0 0

#7
7	3	3	3	5	-3	-1	5	
-3	-5	-3	-5	-5	5	-7	5	
7	-7	7	-7	5	1	5	-1	
-7	7	-7	0	0	-5	7	-1	
7	-3	7	0	0	1	-7	5	
-7	7	-7	5	3	-1	7	-1	
7	-3	-5	-3	-5	-7	-7	3	
-5	7	1	5	-3	7	-7	7	

0	2	2	2	0	3	1	0	
1	5	4	4	3	-4	5	0	
-4	5	-3	4	-1	0	-3	2	
3	-1	4	3	1	5	-4	2	
-4	5	0	0	4	3	3	0	
3	-1	4	0	-3	0	-4	3	
-4	0	5	1	3	2	4	1	
0	-4	-1	-2	2	-2	5	0	

7 0 0

#8
8	2	4	2	6	-4	0	6	
-2	-6	-2	-6	-6	6	-8	6	
8	-8	8	-8	6	2	6	-2	
-6	6	-6	0	0	-6	8	0	
8	-3	8	0	0	2	-8	6	
-8	8	-8	4	4	-2	8	-2	
8	-4	-6	-4	-6	-8	-8	4	
-6	8	2	6	-2	8	-8	8	

0	3	2	3	0	4	1	0	
1	6	4	5	4	-4	6	0	
-4	6	-3	5	-1	0	-3	3	
3	0	4	4	1	6	-4	2	
-4	5	0	0	5	3	4	0	
3	-1	5	1	-3	1	-4	4	
-5	1	6	2	4	3	5	1	
0	-4	-1	-2	2	-2	6	0	

8 0 0

#9
9	1	5	3	7	-5	1	7	
-1	-7	-3	-7	-7	5	-9	7	
9	-9	9	-9	7	3	7	-1	
-7	5	-7	0	0	-7	9	-1	
9	-2	9	0	0	3	-9	7	
-9	9	-9	3	5	-3	9	-3	
9	-3	-5	-5	-7	-9	-9	5	
-7	9	1	7	-3	9	-9	9	

0	4	2	3	0	5	1	0	
1	6	4	5	4	-4	7	0	
