#52
38	-22	32	-26	8	4	4	32	
12	-18	-32	34	-30	22	-8	-20	
0	22	-30	-28	24	-22	-16	12	
-10	34	-16	0	0	24	-32	34	
34	-31	32	0	0	-24	-4	-22	
25	-24	-22	-18	4	21	-25	28	
7	-17	34	-27	29	15	-1	7	
42	-21	9	-1	-9	15	-17	21	

0	23	-1	31	15	16	14	0	
12	19	19	-13	20	-7	10	14	
19	-3	22	21	-3	23	11	3	
26	-13	16	-4	26	-16	20	-6	
5	15	-8	27	-4	19	8	21	
9	10	27	16	8	7	17	0	
15	18	-10	20	-4	-2	10	10	
0	24	9	13	16	3	15	0	

41 9 2

#53
39	-21	31	-25	7	5	5	33	
11	-19	-31	33	-31	21	-9	-21	
1	21	-31	-27	23	-21	-17	13	
-9	33	-15	0	0	25	-33	33	
35	-30	31	0	0	-25	-5	-21	
24	-25	-21	-17	3	22	-24	29	
8	-18	33	-26	28	14	-2	6	
43	-20	8	0	-10	16	-16	22	

0	23	0	31	16	16	14	0	
13	19	19	-12	20	-7	11	15	
19	-3	22	21	-2	23	11	3	
26	-13	16	-4	27	-16	20	-5	
5	14	-7	28	-5	20	9	21	
10	10	27	15	9	7	17	0	
15	19	-10	19	-4	-1	11	11	
0	24	10	13	17	3	15	0	

41 10 2

#54
40	-22	32	-26	8	4	6	34	
10	-20	-32	34	-32	22	-10	-20	
0	22	-30	-28	24	-22	-18	12	
-8	34	-16	0	0	24	-32	34	
36	-31	32	0	0	-26	-4	-20	
23	-26	-22	-18	4	21	-25	28	
9	-17	34	-27	29	15	-1	7	
42	-19	7	-1	-9	15	-15	21	

0	24	0	32	16	17	14	0	
13	19	19	-13	21	-8	12	15	
19	-4	22	21	-3	24	11	4	
26	-13	16	-4	28	-16	20	-5	
5	15	-8	28	-5	21	9	21	
10	11	28	15	8	7	18	0	
14	19	-11	19	-4	-1	11	10	
0	24	11	14	17	4	15	0	

42 10 2

#55
41	-21	31	-25	7	5	5	35	
9	-21	-31	33	-31	21	-11	-19	
1	21	-31	-27	23	-21	-19	13	
-9	33	-15	0	0	25	-31	33	
37	-32	31	0	0	-27	-5	-19	
22	-25	-21	-17	3	22	-26	29	
10	-18	33	-26	28	14	-2	6	
41	-18	8	-2	-8	16	-14	22	

0	24	1	32	17	17	15	0	
14	20	19	-12	21	-8	13	15	
19	-3	23	21	-2	24	11	4	
27	-12	16	-4	29	-16	19	-4	
5	16	-7	29	-5	22	9	21	
11	11	28	15	9	7	18	0	
14	20	-10	19	-3	0	12	11	
0	24	11	15	17	4	15	0	

42 11 2

