331	-136	-55	249	-95	73	-21	369	
59	-107	-129	-130	-25	-105	-141	-41	
-137	113	-109	109	-131	107	65	-29	
89	-93	127	0	0	-145	79	81	
-115	-165	-115	0	0	-147	-1	-43	
303	-3	163	-131	-151	147	-35	55	
-212	-208	-127	211	-177	119	-129	-17	
428	-215	205	-157	157	25	-82	281	

0	234	204	86	248	161	172	0	
86	145	154	178	154	172	209	151	
194	19	69	26	156	65	40	171	
108	113	-2	82	30	159	58	119	
215	103	98	-25	124	155	97	182	
22	83	-7	92	107	41	124	137	
258	178	119	2	157	34	135	121	
0	206	53	242	86	150	170	0	

256 415 23
