#1
1	-1	1	-1	1	-1	1	0	
-1	1	-1	1	1	1	1	0	
1	-1	1	-1	1	1	-1	-1	
-1	-1	-1	0	0	0	1	0	
1	1	1	0	0	-1	1	1	
-1	0	1	0	1	0	-1	0	
1	-1	-1	-1	1	-1	1	-1	
1	0	1	0	1	0	1	0	

0	1	0	1	0	1	0	0	
1	0	1	0	0	0	0	0	
0	1	0	1	0	0	1	0	
1	1	1	0	1	0	0	0	
0	0	0	1	0	1	0	0	
1	0	0	0	0	0	1	0	
0	1	0	1	0	1	0	0	
0	0	0	0	0	0	0	0	

0 1 0

#24
-2	8	-2	-4	12	4	4	18	
2	0	12	0	-18	-18	-12	2	
-6	12	-14	8	-2	8	6	-6	
-10	4	8	0	0	8	-14	12	
-8	10	-8	0	0	-10	12	-14	
-14	12	-8	14	10	-4	8	6	
0	-16	-12	-8	-8	6	-2	-6	
20	0	16	0	-4	10	-8	14	

0	-4	1	4	-1	3	6	0	
6	6	-4	4	8	11	15	6	
9	-2	10	-2	0	0	0	11	
10	-1	-5	4	1	1	10	2	
8	-4	6	4	8	4	-2	15	
11	-7	10	-2	-4	6	-2	4	
5	9	7	5	7	4	3	7	
0	6	0	8	9	3	11	0	

16 8 0

#25
-1	7	-1	-3	13	3	5	17	
1	-1	11	-1	-17	-19	-11	1	
-5	13	-15	9	-3	9	7	-5	
-9	5	7	0	0	7	-15	11	
-9	9	-7	0	0	-11	11	-13	
-13	11	-7	13	11	-5	9	7	
-1	-17	-11	-7	-7	5	-3	-7	
21	1	15	-1	-3	9	-7	15	

0	-3	1	4	-1	4	6	0	
7	7	-3	5	8	12	14	6	
9	-3	11	-2	1	-1	0	10	
10	-2	-4	5	1	1	11	2	
9	-3	6	4	9	4	-1	14	
11	-7	10	-1	-5	7	-2	3	
6	10	6	4	6	4	4	7	
0	6	1	9	9	4	11	0	

16 9 0

#26
0	6	-2	-2	12	2	6	16	
0	0	12	-2	-16	-18	-10	0	
-4	12	-16	10	-4	10	8	-4	
-10	6	6	0	0	6	-14	10	
-8	8	-6	0	0	-10	10	-12	
-12	10	-6	12	12	-6	10	6	
-2	-18	-10	-8	-8	4	-4	-8	
22	2	14	-2	-2	10	-6	16	

0	-3	1	3	-1	4	5	0	
8	7	-4	5	8	12	14	6	
9	-2	11	-3	2	-1	0	10	
11	-2	-4	5	1	2	11	3	
9	-2	6	4	10	4	0	14	
11	-6	10	0	-5	8	-3	3	
7	11	6	4	6	4	4	7	
0	6	2	10	9	4	11	0	

16 10 0

